Object,Description,Format,Format Justification,Status,Type
Maintenance Plan,Calendar of inspections and preventive maintenance (PM) based on time or metrics.,Structured Record,It is a set of rules in the DB.,Draft,Input
3D/CAD Model,Design files that serve as a visual base for the Digital Twin.,File / Binary,It is a file you upload/download.,Draft,Input
Sensor Data,"Real-time readings (vibration, temperature, pressure) via MQTT/IoT.",Data Stream,Flows continuously.,Draft,Input
Operation Data,"Usage records, operating hours, and production cycles.",Structured Record,Saved in the DB history.,Draft,Input
Inspection Data,"Digital checklists, photos, and videos of anomalies captured in the field.",Structured Record,Responses are saved in the DB.,Draft,Input
Spare Part Request,Formal request for a specific inventory component (MRO).,Structured Record,"Creates a ""Request"" row in the DB.",Draft,Input
Contractor Report,Unstructured documents with third-party work reports.,File / Binary,It is a file upload.,Draft,Input
Work Order (WO),"Formal document detailing the task, resources, person responsible, and instructions.",Structured Record,"Mainly data in the DB (can be exported as PDF, but IS a record).",Draft,Output
Work Permit (PTW),"Legal authorization for high-risk work (Heights, Hot, Confined).",Structured Record,Same as above. It is a record in the DB with a state.,Draft,Output
Closing Report,"Final record with hours, parts used, and description of the solution.",Structured Record,"Similar to Inspection Data (https://app.notion.com/p/Inspection-Data-2ce87c56a82880338b6ac520b1de513d?pvs=21) ",Draft,Output
Asset History,Chronological record of all interventions performed on an asset.,Structured Record,It is a consolidated record in the DB.,Draft,Output
Structured Document,Key information automatically extracted from the contractor report (AI).,Data Stream,It is the JSON payload extracted by the AI.,Draft,Output
Alerts,Automatic notices: Operational (low stock) or Predictive (imminent failure).,System Event,It is a trigger.,Draft,Output
Health Dashboard,Real-time visualization of state and degradation (Health Index).,UI View,It is a calculated view.,Draft,Output
KPIs Report,"Key metrics for strategic management (MTBF, MTTR, OEE).",UI View,It is a calculated view.,Draft,Output
Product Master,"Abstract definition of the equipment (Model, Manufacturer, Manuals, Taxonomy). No serial, defines ""what it is"".",Structured Record,"Works as the ""Class"" or template. Defined once and related to multiple assets to avoid duplicating manuals or photos.",Draft,Input
Asset Record,"The unique physical instance with a Serial Number (SN). Contains its current state, location, and link to history.",Structured Record,Requires a unique identity (ID) in the DB to trace the life cycle and failures of that specific object.,Under Definition,Input
Inventory Record,"Available quantity of a spare part or consumable (Oil, Screws) in a specific warehouse.",Structured Record,"Manages transactional data (Quantities, Average Cost) and alert thresholds, not individual histories.",Draft,Input
Functional Location,"The logical place or position in the plant where an asset operates (e.g., ""Loading Bay 1"").",Structured Record,"Allows replacing the physical asset (e.g., replacing a damaged pump) without losing the failure history of that position in the plant.",Draft,Input
Technical Manual,Support documentation provided by the product manufacturer.,File / Binary,"They are static files (PDF, CAD) loaded once and viewed on demand.",Draft,Input
AI Model (Version),The trained algorithm and its current configuration. Subject to retraining and versioning.,Structured Record,,Draft,Input
Kardex / Movement History,"Detailed and chronological record of each inventory transaction (receipts, issues, adjustments).",Structured Record,,Draft,Output
Purchase Request,Formal requirement generated towards the external purchasing system due to shortages or reorder.,Data Stream,,Draft,Output
