Nombre,Acción,Beneficio,Como,Criterios de Aceptación,Epic,Estado de Revisión,ID,MoSCoW,Observaciones,Para,Puntos Fibonacci,Quiero,Req IDs,Requisitos Derivados,Responsable,Rol (Como ...),US ID
MTTO-001: Programación de Mantenimiento Preventivo,"Quiero crear y programar órdenes de trabajo preventivas de forma recurrente, vinculadas a equipos específicos e ítems mantenibles, con método explícito (basado en tiempo o condición).","Para asegurar que el mantenimiento rutinario se ejecute a tiempo según criticidad operativa, manteniendo trazabilidad conforme a la normativa ISO y reduciendo el riesgo de fallos por olvido.",Planificador de Mantenimiento,"Creación exitosa de una Orden de Trabajo Preventiva (https://www.notion.so/Creaci-n-exitosa-de-una-Orden-de-Trabajo-Preventiva-31687c56a828804f9af5e43b05490546?pvs=21), Registro de auditoría visible (https://www.notion.so/Registro-de-auditor-a-visible-31687c56a82880068a47ecf14a483092?pvs=21), Validación de coherencia método-criticidad (https://www.notion.so/Validaci-n-de-coherencia-m-todo-criticidad-31687c56a82880c08708f7b2e2721809?pvs=21), Intento de creación con datos incompletos (https://www.notion.so/Intento-de-creaci-n-con-datos-incompletos-31687c56a828806b94e1c5d49a711fd8?pvs=21)",MTTO,Aprobada,1,MUST,"Este componente es el núcleo de la estrategia proactiva del sistema, alineado con ISO 14224. La lógica de programación debe soportar disparadores tanto por tiempo como por condición, integrando alertas de criticidad (Producción/Crítico para Seguridad) para optimizar los intervalos de intervención y garantizar la disponibilidad de los activos nivel 6.","Para asegurar que el mantenimiento rutinario se ejecute a tiempo según criticidad operativa, manteniendo trazabilidad conforme a la normativa ISO y reduciendo el riesgo de fallos por olvido.",5,"Quiero crear y programar órdenes de trabajo preventivas de forma recurrente, vinculadas a equipos específicos e ítems mantenibles, con método explícito (basado en tiempo o condición).",,,juan david julio serrano,Planificador de Mantenimiento (https://www.notion.so/Planificador-de-Mantenimiento-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-001
MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224,"Quiero registrar el cierre de una orden de trabajo desde mi dispositivo móvil, clasificando la falla según la taxonomía ISO 14224 y adjuntando evidencia multimedia.","Para asegurar la trazabilidad técnica, cumplir con los estándares de la industria y permitir el cálculo preciso de indicadores de fiabilidad (MTBF/MTTR).",Técnico de Mantenimiento,"Cierre Exitoso con Clasificación ISO (https://www.notion.so/Cierre-Exitoso-con-Clasificaci-n-ISO-31687c56a82880acb577c6af2acb6870?pvs=21), Adjuntar Evidencia Multimedia (https://www.notion.so/Adjuntar-Evidencia-Multimedia-31687c56a828801e9d5ed3e9007cf939?pvs=21), Validación de Integridad de Datos (Bloqueo ISO 14224) (https://www.notion.so/Validaci-n-de-Integridad-de-Datos-Bloqueo-ISO-14224-31687c56a82880db8a2dc2ba4007d917?pvs=21), Operación sin Conexión (https://www.notion.so/Operaci-n-sin-Conexi-n-31687c56a82880a0a361cd95c6d7c2c8?pvs=21), Filtrado Dinámico de Taxonomía (https://www.notion.so/Filtrado-Din-mico-de-Taxonom-a-31687c56a828807aa34cdc8fde29896c?pvs=21)",MTTO,Aprobada,2,MUST,"Este proceso es crítico para garantizar la calidad de la información según los requerimientos de ISO 14224. La implementación prioriza una experiencia de usuario optimizada para dispositivos móviles en campo, asegurando la captura de datos de falla (modo, mecanismo, causa) incluso en condiciones de baja conectividad mediante una estrategia de sincronización diferida.","Para asegurar la trazabilidad técnica, cumplir con los estándares de la industria y permitir el cálculo preciso de indicadores de fiabilidad (MTBF/MTTR).",8,"Quiero registrar el cierre de una orden de trabajo desde mi dispositivo móvil, clasificando la falla según la taxonomía ISO 14224 y adjuntando evidencia multimedia.",,,juan david julio serrano,Técnico de Mantenimiento (https://www.notion.so/T-cnico-de-Mantenimiento-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-002
MTTO-003: Carga de Informe por Contratista,Quiero subir mi informe de trabajo en formato digital a la orden de trabajo asignada,Para cumplir con el requisito de entrega del cliente de forma rápida y digital.,Contratista,"Carga exitosa de informe digital (https://www.notion.so/Carga-exitosa-de-informe-digital-31687c56a8288009ade3c2ea8c8fd981?pvs=21), Intento de carga con formato incorrecto (https://www.notion.so/Intento-de-carga-con-formato-incorrecto-31687c56a8288083b6b2c472ffb5499b?pvs=21), Validación de tamaño de archivo (https://www.notion.so/Validaci-n-de-tama-o-de-archivo-31687c56a8288046bd16c81feeb5bd82?pvs=21), Visualización de adjuntos para Supervisor (https://www.notion.so/Visualizaci-n-de-adjuntos-para-Supervisor-31687c56a82880699a8de0830400c7ca?pvs=21)",MTTO,Aprobada,3,SHOULD,"Este componente digitaliza la entrega de informes de terceros, unificando la documentación técnica en un solo repositorio vinculado a la Orden de Trabajo. El sistema debe validar la integridad y el formato de los documentos cargados para asegurar que la información sea procesable y segura, facilitando la revisión inmediata por parte del supervisor.",Para cumplir con el requisito de entrega del cliente de forma rápida y digital.,3,Quiero subir mi informe de trabajo en formato digital a la orden de trabajo asignada,,,juan david julio serrano,Contratista (https://www.notion.so/Contratista-2ce87c56a8288017b0a6ecf701ac8f1d?pvs=21),MTTO-003
MTTO-004: Extracción Automática de Datos de Informes,"Quiero que el sistema extraiga automáticamente la información clave de los documentos digitales (horas reales, repuestos utilizados, descripción del trabajo) y la presente en un resumen listo para validar.",Para reducir el tiempo de cierre de Orden de Trabajo y asegurar trazabilidad de datos técnicos del mantenimiento,Supervisor de Mantenimiento,"Extracción de datos exitosa (https://www.notion.so/Extracci-n-de-datos-exitosa-31687c56a82880bb8522d7269432e685?pvs=21), Extracción con datos faltantes (https://www.notion.so/Extracci-n-con-datos-faltantes-31687c56a82880e6aa2ec9a05137adc4?pvs=21), Aprobación con un solo clic (https://www.notion.so/Aprobaci-n-con-un-solo-clic-31687c56a828805b9202c4478a1029ec?pvs=21)",MTTO,Aprobada,4,SHOULD,"Esta funcionalidad de vanguardia busca automatizar la ingesta de datos técnicos mediante el procesamiento cognitivo de documentos digitales. Aunque el éxito de la extracción está condicionado por la calidad de los informes de origen, el sistema implementa un flujo de validación humana obligatoria y un indicador de confianza técnica para garantizar la integridad de la base de datos de confiabilidad.",Para reducir el tiempo de cierre de Orden de Trabajo y asegurar trazabilidad de datos técnicos del mantenimiento,5,"Quiero que el sistema extraiga automáticamente la información clave de los documentos digitales (horas reales, repuestos utilizados, descripción del trabajo) y la presente en un resumen listo para validar.",,,juan david julio serrano,Supervisor de Mantenimiento (https://www.notion.so/Supervisor-de-Mantenimiento-2ce87c56a82880338b89c23822132112?pvs=21),MTTO-004
INV-005: Creación de Ficha Técnica de Activo (Equipment Unit),Quiero crear la ficha técnica digital de un nuevo activo físico con sus datos de identificación y parámetros operativos mínimos,"Para disponer de un registro maestro oficial que permita la trazabilidad del ciclo de vida, la vinculación a planes de mantenimiento y la captura del historial de fallas.",Ingeniero de Proyectos,"Creación Exitosa con Campos Mínimos (https://www.notion.so/Creaci-n-Exitosa-con-Campos-M-nimos-31687c56a82880cdbf42ecf86e16f47f?pvs=21), Prevención de Tag Duplicado (https://www.notion.so/Prevenci-n-de-Tag-Duplicado-31687c56a828811e8468fc72d02ef3ba?pvs=21), Validación de campos obligatorios (https://www.notion.so/Validaci-n-de-campos-obligatorios-31687c56a82880d9b123dd1d12278df7?pvs=21), Validación de Coherencia de Fechas (https://www.notion.so/Validaci-n-de-Coherencia-de-Fechas-31687c56a8288090a778cd5ba0e142a5?pvs=21)",INV,Aprobada,5,MUST,"La creación del Equipment Unit representa la formalización digital del activo físico según ISO 14224 Nivel 6. El sistema implementa validaciones de integridad de datos para asegurar que cada registro cuente con los parámetros técnicos y operativos necesarios para su posterior gestión de confiabilidad, garantizando la unicidad del Tag industrial en todo el ecosistema de la planta.","Para disponer de un registro maestro oficial que permita la trazabilidad del ciclo de vida, la vinculación a planes de mantenimiento y la captura del historial de fallas.",5,Quiero crear la ficha técnica digital de un nuevo activo físico con sus datos de identificación y parámetros operativos mínimos,,,Didier Moreno Caicedo,Ingeniero de Proyectos (https://www.notion.so/Ingeniero-de-Proyectos-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-005
INV-006: Gestión de Movimientos de Inventario,"Quiero registrar técnicamente las entradas, salidas y devoluciones de materiales y repuestos críticos","Para mantener la integridad absoluta entre el inventario físico y digital, garantizando la disponibilidad de materiales para mantenimiento y la asignación correcta de costos operativos.",Jefe de Almacen,"Recepción de Material (Entrada) (https://www.notion.so/Recepci-n-de-Material-Entrada-31687c56a828807c8ab8f4de79a140d7?pvs=21), Salida de Material a Orden de Trabajo (Issue) (https://www.notion.so/Salida-de-Material-a-Orden-de-Trabajo-Issue-31687c56a82880e68f6ade2a3f9fbbb1?pvs=21), Validación de Stock Insuficiente (https://www.notion.so/Validaci-n-de-Stock-Insuficiente-31687c56a82880bd97a8df88da16ff86?pvs=21), Devolución de Material No Usado (Return to Stock) (https://www.notion.so/Devoluci-n-de-Material-No-Usado-Return-to-Stock-31687c56a82880559d01e59edb024c64?pvs=21), Alerta de Sobrestock por Devolución (https://www.notion.so/Alerta-de-Sobrestock-por-Devoluci-n-31687c56a8288015a806c8caa4bf3ff6?pvs=21)",INV,Aprobada,6,MUST,"Esta funcionalidad es crítica para el control de costos operativos y la trazabilidad de la cadena de suministro técnica. El sistema implementa procesos transaccionales para entradas (Receipt), salidas (Issue) y devoluciones (Return), asegurando que los niveles de inventario y la asignación de costos a las órdenes de trabajo sean precisos y auditables en tiempo real.","Para mantener la integridad absoluta entre el inventario físico y digital, garantizando la disponibilidad de materiales para mantenimiento y la asignación correcta de costos operativos.",8,"Quiero registrar técnicamente las entradas, salidas y devoluciones de materiales y repuestos críticos",,,Didier Moreno Caicedo,Jefe de Almacen (https://www.notion.so/Jefe-de-Almacen-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-006
INV-007: Validación y Alta de Activos Nuevos,Quiero revisar y completar técnicamente la ficha de los activos nuevos en estado preliminar,"Para garantizar que todos los datos de ingeniería, manuales y modelos jerárquicos sean correctos antes de autorizar la liberación operativa y el mantenimiento del activo.",Ingeniero de Proyectos,"Validación y Activación de Activo (https://www.notion.so/Validaci-n-y-Activaci-n-de-Activo-31687c56a8288055930afb2d7ff00e3a?pvs=21), Rechazo de Activo Incompleto (https://www.notion.so/Rechazo-de-Activo-Incompleto-31687c56a828809baadce26b172d5124?pvs=21)",INV,Aprobada,7,MUST,"Esta historia define el punto de control de calidad para la integridad del catálogo maestro. El flujo de validación técnica garantiza que ningún activo entre en operación sin contar con la documentación mínima requerida por ISO 14224, permitiendo la detección temprana de inconsistencias y asegurando una transición fluida entre las fases de proyecto y operación.","Para garantizar que todos los datos de ingeniería, manuales y modelos jerárquicos sean correctos antes de autorizar la liberación operativa y el mantenimiento del activo.",5,Quiero revisar y completar técnicamente la ficha de los activos nuevos en estado preliminar,,,Didier Moreno Caicedo,Ingeniero de Proyectos (https://www.notion.so/Ingeniero-de-Proyectos-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-007
VIS-008: Visualización de Capa de Permisos de Trabajo,"Quiero habilitar una capa visual que muestre los permisos de trabajo activos (alturas, caliente, izaje) sobre el mapa de la planta",Para identificar rápidamente cruces de actividades peligrosas y evitar accidentes por interferencia entre contratistas.,Inspector HSEQ,"Activación de Capa de Seguridad (Redundancia Visual) (https://www.notion.so/Activaci-n-de-Capa-de-Seguridad-Redundancia-Visual-31687c56a828804cbf6cde04f25592a2?pvs=21), Consulta Contextual (Desglose de Información) (https://www.notion.so/Consulta-Contextual-Desglose-de-Informaci-n-31687c56a828800489ebeaac103499fc?pvs=21), Validación de Integridad (Detección de Huérfanos) (https://www.notion.so/Validaci-n-de-Integridad-Detecci-n-de-Hu-rfanos-31687c56a8288029a705cadfce83053b?pvs=21)",VIS,Aprobada,8,MUST,"Esta funcionalidad es crítica para la seguridad industrial (SIMOPS) y el cumplimiento de la norma ISO 45001. Más allá de la representación gráfica, el sistema implementa una validación de integridad (Detección de Objetos Huérfanos) que garantiza la correspondencia exacta entre los permisos digitales y los activos físicos en el modelo 3D, alertando sobre cualquier inconsistencia que pudiera comprometer la seguridad del personal.",Para identificar rápidamente cruces de actividades peligrosas y evitar accidentes por interferencia entre contratistas.,8,"Quiero habilitar una capa visual que muestre los permisos de trabajo activos (alturas, caliente, izaje) sobre el mapa de la planta",,,Marialuisa Alzate,Inspector HSEQ (https://www.notion.so/Inspector-HSEQ-2ce87c56a82880a98b07ef55b4b0fa84?pvs=21),VIS-008
VIS-009: Navegación Jerárquica y Zoom Semántico,Quiero hacer zoom en una zona específica de la planta usando el scroll del mouse,Para inspeccionar con detalle la ubicación de los activos en áreas densas,Supervisor de Mantenimiento,"Zoom Semántico (Desglose) (https://www.notion.so/Zoom-Sem-ntico-Desglose-31687c56a8288072b7bfec579aa380fc?pvs=21), Límites de Navegación (https://www.notion.so/L-mites-de-Navegaci-n-31687c56a8288089bc65c13230371c6d?pvs=21), Retorno al Contexto (Zoom Out) (https://www.notion.so/Retorno-al-Contexto-Zoom-Out-31687c56a8288000a463ea805db1827f?pvs=21)",VIS,Aprobada,9,SHOULD,"Esta funcionalidad de navegación avanzada mejora significativamente la experiencia de usuario (UX) mediante la implementación de zoom semántico. Para garantizar un rendimiento óptimo en dispositivos móviles y estaciones de trabajo, el sistema utiliza lógica de renderizado condicional (LOD), ajustando dinámicamente la complejidad de la geometría y la densidad de información según el nivel de acercamiento del usuario.",Para inspeccionar con detalle la ubicación de los activos en áreas densas,5,Quiero hacer zoom en una zona específica de la planta usando el scroll del mouse,,,Marialuisa Alzate,Supervisor de Mantenimiento (https://www.notion.so/Supervisor-de-Mantenimiento-2ce87c56a82880338b89c23822132112?pvs=21),VIS-009
VIS-010: Visualización de Despiece (Vista Explosionada),Quiero visualizar la vista explosionada (despiece) del activo seleccionado en 3D,Para identificar la ubicación exacta de un componente interno antes de iniciar el desarme físico.,Técnico de Mantenimiento,"Activación de Despiece (https://www.notion.so/Activaci-n-de-Despiece-31687c56a82880d39b3cd37ef56520b2?pvs=21), Selección de Componente Interno (https://www.notion.so/Selecci-n-de-Componente-Interno-31687c56a8288073b6b8f917caecc4db?pvs=21)",VIS,Aprobada,10,COULD,"La vista explosionada (despiece) representa un nivel avanzado de visualización para facilitar intervenciones complejas. Debido a su alta demanda de recursos gráficos y modelado especializado, se clasifica como una funcionalidad opcional que requiere modelos 3D jerárquicos y optimizados para visualización web intensiva por hardware, ofreciendo una alternativa interactiva a los manuales técnicos tradicionales.",Para identificar la ubicación exacta de un componente interno antes de iniciar el desarme físico.,8,Quiero visualizar la vista explosionada (despiece) del activo seleccionado en 3D,,,Marialuisa Alzate,Técnico de Mantenimiento (https://www.notion.so/T-cnico-de-Mantenimiento-2ce87c56a828804db57fd6c417865e7d?pvs=21),VIS-010
