Descripción,Categoría ISO 25010,Estado del Requisito,Historia Relacionada,ID,Prioridad,Req ID,Tipo,Última Edición,Última Edición (tiempo)
FR-001: El sistema permitirá que el Planificador seleccione un activo (Nivel 6 ISO 14224) y vincule uno o más ítems mantenibles (Nivel 8) al plan preventivo.,Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),1,Alta,FR-001,FR,juan david julio serrano,"March 1, 2026 1:13 PM"
"FR-002: El formulario de creación del plan debe permitir seleccionar método de mantenimiento: ""basado en tiempo"" (intervalo fijo en semanas) o ""basado en condición"" (basado en monitoreo de KPI/sensor).",Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),2,Alta,FR-002,FR,juan david julio serrano,"March 1, 2026 1:15 PM"
"FR-003: El sistema debe calcular automáticamente la próxima Orden de Trabajo basada en la frecuencia seleccionada; para activos con criticidad ""Crítico para Producción"" o ""Crítico para Seguridad"", el intervalo máximo recomendado es <= 8 semanas; si el usuario intenta valores > 8 semanas, se muestra advertencia.",Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),3,Alta,FR-003,FR,juan david julio serrano,"March 1, 2026 1:15 PM"
"FR-004: El sistema bloqueará el guardado del plan si faltan campos obligatorios: Activo (Nivel 6), Ítem Mantenible (Nivel 8), Método de Mantenimiento, Frecuencia; mostrará un mensaje claro indicando cuáles campos son requeridos.",Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),4,Alta,FR-004,FR,juan david julio serrano,"March 1, 2026 1:15 PM"
"FR-005: El servicio de tareas programadas debe ejecutarse periódicamente, identificar planes activos con vencimiento próximo, y generar las órdenes de trabajo correspondientes.",Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),5,Alta,FR-005,FR,juan david julio serrano,"March 1, 2026 1:15 PM"
"FR-006: El Planificador debe poder visualizar el listado de planes preventivos activos con columnas: Activo, Ítem Mantenible, Método, Frecuencia, Próxima Orden de Trabajo, Estado.",Functional Suitability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),6,Alta,FR-006,FR,juan david julio serrano,"March 1, 2026 1:15 PM"
NFR-007: El servicio de programación debe contar con mecanismos de tolerancia a fallos y reintento automático en caso de interrupciones del servicio.,Reliability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),7,Alta,NFR-007,NFR,juan david julio serrano,"March 1, 2026 1:15 PM"
NFR-008: El tiempo de respuesta de la interfaz de carga y gestión debe ser de < 1s para garantizar la fluidez del proceso de planificación.,Performance Efficiency,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),8,Media,NFR-008,NFR,juan david julio serrano,"March 1, 2026 1:15 PM"
NFR-009: El sistema debe soportar el crecimiento del volumen de planes sin degradación del rendimiento.,Reliability,Aprobado,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),9,Media,NFR-009,NFR,juan david julio serrano,"March 1, 2026 1:15 PM"
FR-010: El sistema permitirá que un Técnico registre el cierre de una Orden de Trabajo desde el dispositivo móvil incluyendo Horas Hombre Reales.,Functional Suitability,Aprobado,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),10,Alta,FR-010,FR,juan david julio serrano,"March 1, 2026 1:13 PM"
