Scenario,AC ID,Epic,Given (Context),Then (Result),US ID,UUID,User Story,When (Action)
Successful preventive plan creation,AC-MTTO-001-1,MTTO,Given the Planner is authenticated and the equipment unit is registered with full identification.,Then the system confirms the plan creation and displays it as scheduled in the operational calendar.,MTTO-001,1,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),"When they select the equipment unit, define the calendar time frequency, and save the plan."
Mandatory fields validation,AC-MTTO-001-2,MTTO,Given the Planner is authenticated.,Then the system reports the missing mandatory fields and does not generate the schedule.,MTTO-001,2,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),When they attempt to save a plan without selecting an equipment unit or without defining the frequency.
Traceability record,AC-MTTO-001-3,MTTO,Given a recurring preventive plan has been successfully created.,"Then they view the complete record with author, date and time, affected equipment unit, frequency, and configured method.",MTTO-001,3,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),When the user accesses the system's audit history.
Active plans list,AC-MTTO-001-4,MTTO,Given there are active preventive plans.,"Then the system presents the equipment unit, the maintainable item, the time frequency, the date of the next work order, and the status.",MTTO-001,4,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),When the Planner queries the list of plans.
Successful closure with ISO classification,AC-MTTO-002-5,MTTO,Given the Technician has completed the physical work and the Work Order is in 'In Progress' status.,Then the system updates the Work Order status to 'Pending Review' and logs the technical reliability data.,MTTO-002,5,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),"When they fill out the closure form specifying the Maintainable Item, Failure Mode, Mechanism, and Cause according to ISO 14224, and submit the closure."
Attach multimedia evidence,AC-MTTO-002-6,MTTO,Given the Technician is filling out the WO closure form.,Then the system associates the image with the closure record and makes it visible for future technical audits.,MTTO-002,6,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),When they capture or attach a photograph of the repaired equipment unit.
Data integrity validation (ISO 14224 Lock),AC-MTTO-002-7,MTTO,Given the Technician attempts to close a corrective Work Order.,"Then the system blocks the closure, alerts about the missing technical data, and prevents the state transition.",MTTO-002,7,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),When they omit the Failure Cause or any mandatory ISO 14224 taxonomic field.
Offline operation,AC-MTTO-002-8,MTTO,Given the Technician is in a plant area without network coverage.,Then the system saves the record locally and automatically synchronizes it with the server once connectivity is restored.,MTTO-002,8,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),When they register the WO closure with ISO 14224 classification.
Dynamic taxonomy filtering,AC-MTTO-002-9,MTTO,Given the Technician is classifying a failure.,Then the system dynamically filters the available Failure Modes to show only those applicable to that specific item class.,MTTO-002,9,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),When they select the Maintainable Item.
Successful digital report upload,AC-MTTO-003-10,MTTO,Given the Contractor is authenticated and assigned to the Work Order.,"Then the system attaches the document, records the timestamp, and notifies the Supervisor.",MTTO-003,10,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),When they upload a PDF report and select the corresponding Maintainable Item.
Upload attempt with incorrect format,AC-MTTO-003-11,MTTO,Given the Contractor is attaching a report.,"Then the system rejects the file, displays an invalid format error, and prevents the upload.",MTTO-003,11,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),"When they attempt to upload a file with an unauthorized extension (e.g., .exe or .zip)."
File size validation,AC-MTTO-003-12,MTTO,Given the Contractor is attaching a report.,Then the system rejects the file and displays an error indicating the maximum allowed size has been exceeded.,MTTO-003,12,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),When they attempt to upload a PDF file exceeding 50 MB.
Attachment viewing for Supervisor,AC-MTTO-003-13,MTTO,Given a Contractor has uploaded a report.,"Then they can view, download, and approve/reject the attached document directly from the interface.",MTTO-003,13,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),When the Supervisor reviews the Work Order details.
Successful data extraction,AC-MTTO-004-14,MTTO,Given a digital report is attached to the Work Order.,"Then the system analyzes the document and pre-fills the real hours, materials, and description fields with a high confidence indicator.",MTTO-004,14,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),When the Supervisor triggers the automatic extraction.
Extraction with missing data,AC-MTTO-004-15,MTTO,Given the attached report lacks material details.,"Then it pre-fills the hours and description, flags the materials field as empty, and requires manual input from the Supervisor.",MTTO-004,15,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),When the system performs the automatic extraction.
One-click approval,AC-MTTO-004-16,MTTO,Given the extraction returned data with high confidence.,Then the data is permanently saved to the Work Order record.,MTTO-004,16,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),When the Supervisor reviews the pre-filled fields and clicks 'Approve Extraction'.
Usage-based WO generation,AC-MTTO-020-17,MTTO,Given a preventive plan is set to trigger every 500 operating hours.,Then the system automatically generates the Work Order and resets the cycle counter.,MTTO-020,17,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),When the equipment unit's telemetry counter crosses the 500-hour threshold.
