Name,Alcance,Descripción General,ID,Referencias Normativas,TR ID
TR-001: Auditoria Inmutable (Audit Trail Service),"Aplica a: cambios en configuración, operaciones de mantenimiento, gestión de archivos, extracción de datos, consultas IA, modificaciones de límites de activos y decisiones de garantía.",Sistema de registro de auditoría de solo inserción que captura todas las operaciones críticas del sistema con trazabilidad completa. Garantiza conformidad con ISO 55000:2014 Clause 7.5 (Información documentada).,1,"  • ISO 55000:2014 Clause 7.5 (Información documentada).
  • ISO 27001:2022 A.12.4.1 (Registro de eventos).",TR-001
TR-002: Cifrado de Datos en Reposo (Data Encryption Service),"Aplica a: archivos adjuntos, planes de mantenimiento, documentos técnicos, embeddings de IA, caché móvil y credenciales de APIs externas.","Estándar de cifrado para datos sensibles almacenados en servidores, bases de datos y dispositivos móviles. Garantiza confidencialidad según ISO 27001:2022.",2,"  • ISO 27001:2022 A.8.24 (Uso de criptografía).
  • NIST SP 800-57 (Recomendaciones para gestión de claves).",TR-002
TR-003: Integridad de Datos (Data Integrity Service),"Aplica a: archivos PDF/imágenes cargados, documentos descargados en móvil, caché local y registros de auditoría (TR-001).",Mecanismo de verificación de integridad mediante hashes criptográficos para detectar corrupción o manipulación de archivos y registros del sistema.,3,"  • NIST FIPS 180-4 (Secure Hash Standard).
  • ISO 27001:2022 A.8.24 (Uso de criptografía para integridad).",TR-003
TR-004: Limitación de Tasa (Rate Limiting Service),"Aplica a: extracción de datos con IA, consultas RAG en documentación, APIs externas de servicios LLM y endpoints críticos de backend.","Mecanismo de control de tráfico para prevenir abuso de APIs, proteger recursos computacionales costosos y garantizar disponibilidad equitativa del servicio.",4,"  • OWASP API Security Top 10 (2023): API4:2023 Unrestricted Resource Consumption.
  • RFC 6585 Section 4: HTTP Status Code 429 (Too Many Requests).",TR-004
TR-005: Cifrado en Tránsito (Network Encryption Policy),"Aplica a: comunicaciones HTTPS, conexiones a base de datos con cifrado, APIs externas y sincronización móvil.","Política de cifrado para datos en tránsito entre cliente-servidor, servidor-BD y servidor-APIs externas. Garantiza confidencialidad e integridad en la red.",5,"  • OWASP Transport Layer Protection Cheat Sheet.
  • NIST SP 800-52 Rev. 2: Guidelines for TLS Implementations.
  • ISO 27001:2022 A.8.24: Uso de criptografía.",TR-005
TR-006: Autenticación y Autorización RBAC (RBAC Policy),"Aplica a: todos los endpoints del backend, operaciones CRUD, acceso a archivos y modificación de configuración.",Sistema de control de acceso basado en roles (Role-Based Access Control) para gestionar permisos de usuarios. Implementa principio de mínimo privilegio.,6,"  • OWASP Authentication Cheat Sheet.
  • NIST SP 800-63B: Digital Identity Guidelines (Authentication).
  • ISO 27001:2022 A.5.15: Control de acceso.",TR-006
TR-007: Sincronización Offline-First (Offline Sync Pattern),"Aplica a: captura de datos en terreno (cierre de WO), descarga de documentos técnicos y modificación de límites de activos en móvil.",Patrón arquitectónico para aplicaciones móviles que operan en ambientes con conectividad intermitente. Permite captura de datos offline con sincronización posterior al servidor.,7,"  • Offline-First Design Principles (Google Developers).",TR-007
TR-008: Gestión y Validación de Jerarquía ISO 14224 (Asset Hierarchy Service),"Aplica a: creación de activos L6/L8, asignación de componentes a equipos, definición de límites físicos, cierre de órdenes de trabajo, scheduling de mantenimiento y reportes de activos.","Servicio centralizado para gestionar, validar y consultar la clasificación jerárquica de activos según ISO 14224:2016 (9 niveles). Incluye validaciones de integridad que previenen duplicados, gaps y referencias rotas, así como capacidades de búsqueda y reportes por nivel taxonómico.",8,"  • ISO 14224:2016 Section 5: Boundary definitions y requisito de jerarquía de activos en 9 niveles.
  • ISO 14224:2016 Annex B: Ejemplos de jerarquía de activos.",TR-008
TR-009: Marco de Inteligencia Artificial / LLM (AI/LLM Framework),"Aplica a: extracción de datos de documentos PDF, consultas RAG en documentación técnica, asistente de mantenimiento y análisis de órdenes de trabajo.","Framework centralizado para integración de servicios de Inteligencia Artificial en flujos de mantenimiento. Incluye gestión de confianza, control de costos, fallback a procesamiento manual y auditabilidad completa.",9,"  • OWASP LLM Top 10 (2024): Security risks en aplicaciones con LLM.
  • NIST AI Risk Management Framework: Governance y auditability.",TR-009
TR-010: Sincronización en Tiempo Real (Real-Time Sync Pattern),"Aplica a: actualización de capas de visualización (permisos de trabajo, inventario), cambios de estado en tiempo real, notificaciones de eventos críticos y sincronización de permisos de usuario.",Mecanismo de actualización en tiempo real de datos críticos entre backend y clientes (web y móvil). Garantiza que todos los clientes ven cambios inmediatos sin necesidad de refrescar la página.,10,"  • RFC 6455: Protocolo de comunicación bidireccional en tiempo real.
  • OWASP WebSocket Security: Best practices.",TR-010
TR-011: Filosofía HPHMI (Cumplimiento HPHMI),"Aplica a: todos los tableros de visualización 2D, capas de información sobre el modelo 3D, indicadores de KPIs y navegación del sistema.","Estándar de diseño para la interfaz del Gemelo Digital basado en la filosofía de Hollifield. El objetivo es minimizar la carga cognitiva del operador mediante una interfaz ""aburrida"" (grayscale) donde el color se reserve exclusivamente para condiciones anormales.",11,"  • HMI Philosophy (Hollifield): Chapters 6 & 7.
  • ISA-101.01: Human Machine Interfaces for Process Automation Systems.
  • WCAG 2.1 AA: Web Content Accessibility Guidelines.",TR-011
