Name,Description,ID,Normative References,Scope,TR ID
Immutable Audit,Append-only audit logging system that captures all critical system operations with complete traceability. Guarantees compliance with ISO 55000:2014 Clause 7.5 (Documented information).,1,• ISO 55000:2014 Clause 7.5 (Documented information).<br>• ISO 27001:2022 A.12.4.1 (Event logging).,"Applies to: configuration changes, maintenance operations, file management, data extraction, AI queries, equipment boundary modifications, and warranty decisions.",TR-001
Data Encryption at Rest,"Encryption standard for sensitive data stored on servers, databases, and mobile devices. Guarantees confidentiality according to ISO 27001:2022.",2,• ISO 27001:2022 A.8.24 (Use of cryptography).<br>• NIST SP 800-57 (Recommendation for Key Management).,"Applies to: attachments, maintenance plans, technical documents, AI embeddings, mobile cache, and external API credentials.",TR-002
Data Integrity,Integrity verification mechanism using cryptographic hashes to detect file and system log corruption or tampering.,3,• NIST FIPS 180-4 (Secure Hash Standard).<br>• ISO 27001:2022 A.8.24 (Use of cryptography for integrity).,"Applies to: uploaded PDF/image files, downloaded mobile documents, local cache, and audit logs (TR-001).",TR-003
Rate Limiting,"Traffic control mechanism to prevent API abuse, protect expensive computational resources, and ensure equitable service availability.",4,• OWASP API Security Top 10 (2023): API4:2023 Unrestricted Resource Consumption.<br>• RFC 6585 Section 4: HTTP Status Code 429 (Too Many Requests).,"Applies to: AI data extraction, RAG queries on documentation, external LLM APIs, and critical backend endpoints.",TR-004
Encryption in Transit,"Encryption policy for data in transit between client-server, server-DB, and server-external APIs. Guarantees network confidentiality and integrity.",5,• OWASP Transport Layer Protection Cheat Sheet.<br>• NIST SP 800-52 Rev. 2: Guidelines for TLS Implementations.<br>• ISO 27001:2022 A.8.24: Use of cryptography.,"Applies to: HTTPS communications, encrypted database connections, external APIs, and mobile synchronization.",TR-005
RBAC Authentication and Authorization,Role-Based Access Control system to manage user permissions. Implements the principle of least privilege.,6,• OWASP Authentication Cheat Sheet.<br>• NIST SP 800-63B: Digital Identity Guidelines (Authentication).<br>• ISO 27001:2022 A.5.15: Access control.,"Applies to: all backend endpoints, CRUD operations, file access, and configuration modifications.",TR-006
Offline-First Synchronization,Architectural pattern for mobile applications operating in intermittent connectivity environments. Allows offline data capture with deferred server synchronization.,7,• Offline-First Design Principles (Google Developers).,"Applies to: field data capture (WO closure), technical manual consultation (document viewer), and field equipment history consultation.",TR-007
ISO 14224 Hierarchy Management and Validation,"Centralized service to manage, validate, and query the hierarchical equipment classification according to ISO 14224:2016 (9 levels). Includes integrity validations that prevent duplicates, gaps, and broken references, as well as search and reporting capabilities by taxonomic level.",8,• ISO 14224:2016 Section 5: Boundary definitions and 9-level asset hierarchy requirement.<br>• ISO 14224:2016 Annex B: Asset hierarchy examples.,"Applies to: L6/L8 equipment creation, component allocation, physical boundary definition, work order closure, maintenance scheduling, and equipment reports.",TR-008
AI / LLM Framework,"Centralized framework for Artificial Intelligence service integration into maintenance workflows. Includes confidence management, cost control, fallback to manual processing, and full auditability.",9,• OWASP LLM Top 10 (2024): Security risks in applications with LLM.<br>• NIST AI Risk Management Framework: Governance and auditability.,"Applies to: PDF document data extraction, RAG queries on technical documentation, maintenance assistant, and work order analysis.",TR-009
Real-Time Synchronization,Real-time update mechanism for critical data between backend and clients (web and mobile). Ensures all clients see immediate changes without needing page refreshes.,10,• RFC 6455: The WebSocket Protocol.<br>• OWASP WebSocket Security: Best practices.,"Applies to: visualization layer updates (work permits, inventory), real-time status changes, critical event notifications, and user permission synchronization.",TR-010
HPHMI Philosophy,Design standard for the Digital Twin interface based on Hollifield's philosophy. The goal is to minimize operator cognitive load through a 'boring' (grayscale) interface where color is reserved exclusively for abnormal conditions.,11,• HMI Philosophy (Hollifield): Chapters 6 & 7.<br>• ISA-101.01: Human Machine Interfaces for Process Automation Systems.<br>• WCAG 2.1 AA: Web Content Accessibility Guidelines.,"Applies to: all 2D visualization dashboards, information layers over the 3D model, KPI indicators, and system navigation.",TR-011
