Description,Global ID,ISO 25010:2023 Category,Last Edited,Last Edited By,Normative Reference,Priority,Related Story,Req ID,Status,TR,TR ID,Type
The system shall allow the Planner to select an equipment unit (ISO 14224 Level 6) and link one or more maintainable items (Level 8) to the preventive plan.,1,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,ISO 14224 taxonomy and boundaries,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-001,Approved,,,FR
The plan creation form shall allow defining a preventive maintenance frequency strictly based on calendar time intervals.,2,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-002,Approved,,,FR
The system shall automatically calculate the date of the next Work Order based on the selected frequency and the last registered closure of the plan.,3,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,ISO 14224 recommended data and maintenance history,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-003,Approved,,,FR
"The system shall block saving the plan if any mandatory technical fields are missing (equipment unit, maintainable item, and frequency).",4,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,ISO 14224 recommended data and validation,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-004,Approved,,,FR
The system shall automatically project and generate Work Orders according to the defined time interval without manual intervention.,5,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-005,Approved,,,FR
"The system shall display a registry of active preventive plans that exposes key tracking attributes (equipment unit, maintainable item, time frequency, next estimated work order date, and status).",6,Functional Suitability,"September 24, 2026 7:20 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),FR-006,Approved,,,FR
The scheduling service must have fault tolerance and automatic retry mechanisms to recover from service interruptions.,7,Reliability,"September 24, 2026 7:21 AM",juan david julio serrano,Offline-First Design Principles (Google Developers),High,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),NFR-007,Approved,,,NFR
The management interface shall respond to user interactions in under 1 second to maintain planning workflow fluidity.,8,Performance Efficiency,"September 24, 2026 7:21 AM",juan david julio serrano,The High Performance HMI Handbook (Hollifield),Medium,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),NFR-008,Approved,,,NFR
The system shall support the continuous growth of plan volumes without perceptible performance degradation.,9,Performance Efficiency,"September 24, 2026 7:21 AM",juan david julio serrano,ISO/IEC 25010:2023 - Performance Efficiency (Capacity),Medium,Preventive Maintenance Scheduling (https://app.notion.com/p/Preventive-Maintenance-Scheduling-39287c56a82880eba0dffcbd0689d5d2?pvs=21),NFR-009,Approved,,,NFR
"The system shall allow a Technician to register the closure of a Work Order from a mobile device, including Actual Man-Hours.",10,Functional Suitability,"September 24, 2026 7:36 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),FR-010,Approved,,,FR
