Name,Action,"Applicable TRs ",Benefit,Effort Points,Epic,ID,MoSCoW,Observations,Responsible,Review Status,Role (As a ..),US ID
Preventive Maintenance Scheduling,"I want to create and schedule preventive work orders on a recurring basis, linked to specific equipment units and maintainable items, based on calendar time intervals.",ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can ensure routine maintenance is executed on time according to the established plan, maintaining traceability in compliance with ISO standards and reducing the risk of failure due to omission.",5,MTTO,1,MUST,This story is strictly restricted to scheduling by calendar time intervals.,juan david julio serrano,Approved,Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-001
Digital WO Closure with ISO 14224 Taxonomy,"I want to record the closure of a work order from my mobile device, classifying the failure according to the ISO 14224 taxonomy and attaching multimedia evidence.","Offline-First Synchronization (https://app.notion.com/p/Offline-First-Synchronization-31887c56a828809a8488e98e3d269c2c?pvs=21), ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21)","So that I can ensure technical traceability, comply with industry standards, and allow accurate calculation of reliability indicators (MTBF/MTTR).",8,MTTO,2,MUST,"This process is critical to guarantee information quality according to ISO 14224 requirements. The implementation prioritizes an optimized user experience for mobile devices in the field, ensuring the capture of failure data (mode, mechanism, cause) even in low-connectivity conditions.",juan david julio serrano,Approved,Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-002
Contractor Report Upload,I want to upload my work report in digital format to the assigned work order.,Offline-First Synchronization (https://app.notion.com/p/Offline-First-Synchronization-31887c56a828809a8488e98e3d269c2c?pvs=21),So that I can fulfill the client's delivery requirement quickly and digitally.,3,MTTO,3,SHOULD,"This component digitizes the delivery of third-party reports, unifying technical documentation in a single repository linked to the Work Order. The system must validate the integrity and format of the uploaded documents to ensure the information is actionable and secure, facilitating immediate review by the supervisor.",juan david julio serrano,Approved,Contractor (https://app.notion.com/p/Contractor-2ce87c56a8288017b0a6ecf701ac8f1d?pvs=21),MTTO-003
Automatic Report Data Extraction,"I want the system to automatically extract key information from digital documents (actual hours, used spare parts, work description) and present it in a summary ready for validation.","AI / LLM Framework (https://app.notion.com/p/AI-LLM-Framework-31887c56a8288057bac8e3328b4f1234?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)",So that I can reduce the Work Order closure time and ensure traceability of technical maintenance data.,5,MTTO,4,SHOULD,"This cutting-edge functionality seeks to automate technical data ingestion through the cognitive processing of digital documents. Although extraction success is conditioned by the quality of the source reports, the system implements a mandatory human validation flow and a technical confidence indicator to ensure the integrity of the reliability database.",juan david julio serrano,Approved,Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21),MTTO-004
Equipment Unit Technical Record Creation,I want to create the digital technical record of a new physical equipment unit with its identification data and minimum operational parameters.,ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can have an official master record that allows life cycle traceability, linkage to maintenance plans, and the capture of failure history.",5,INV,5,MUST,"The creation of the Equipment Unit represents the digital formalization of the physical machine according to ISO 14224 Level 6. The system implements data integrity validations to ensure that each record has the technical and operational parameters necessary for its subsequent reliability management, guaranteeing the uniqueness of the industrial Tag throughout the plant's ecosystem.",juan david julio serrano,Approved,Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-005
Inventory Movement Management,"I want to technically record the receipts, issues, and returns of critical materials and spare parts.",,"So that I can maintain absolute integrity between the physical and digital inventory, guaranteeing the availability of materials for maintenance and the correct allocation of operational costs.",8,INV,6,MUST,"This functionality is critical for operational cost control and the traceability of the technical supply chain. The system implements transactional processes for receipts (Receipt), issues (Issue), and returns (Return), ensuring that inventory levels and cost allocation to work orders are accurate and auditable in real-time.",juan david julio serrano,Approved,Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-006
New Equipment Unit Validation and Onboarding,I want to technically review and complete the record of new equipment units in a preliminary state.,ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can guarantee that all engineering data, manuals, and hierarchical models are correct before authorizing the operational release and maintenance of the equipment unit.",5,INV,7,MUST,"This story defines the quality control point for the integrity of the master catalog. The technical validation flow guarantees that no equipment unit enters operation without having the minimum documentation required by ISO 14224, allowing the early detection of inconsistencies and ensuring a smooth transition between project and operation phases.",juan david julio serrano,Approved,Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-007
Work Permit Layer Visualization,I want to enable a visual layer showing active work permits on the 2D/3D Digital Twin.,HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21),So that I can quickly identify dangerous crossings of activities and avoid accidents due to interference between contractors.,8,VIS,8,MUST,"This functionality is critical for industrial safety (SIMOPS) and ISO 45001 compliance. Beyond the graphic representation, the system implements an integrity validation (Orphan Object Detection) that guarantees the exact correspondence between digital permits and physical equipment units in the digital twin, alerting to any inconsistency that could compromise personnel safety. The enriched 3D visualization requires plant connectivity; offline mode does not apply.",juan david julio serrano,Approved,HSEQ Inspector (https://app.notion.com/p/HSEQ-Inspector-2ce87c56a82880a98b07ef55b4b0fa84?pvs=21),VIS-008
Hierarchical Navigation and Semantic Zoom,I want to zoom into a specific area of the plant using the mouse scroll.,HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21),So that I can inspect the location of equipment units in dense areas in detail.,5,VIS,9,SHOULD,"This story defines the advanced navigation and cinematic camera damping experience. The base rendering, panning, and dual zoom (geometric and semantic) functionality of the 2D canvas is guaranteed in the MVP through VIS-033 and UC-VIS-033. This story remains as SHOULD to govern high-fidelity camera transitions and volume limits.",juan david julio serrano,Approved,Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21),VIS-009
Exploded View Visualization,I want to visualize the exploded view (breakdown) of the selected equipment unit in 3D.,HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21),So that I can identify the exact location of an internal component before starting physical disassembly.,8,VIS,10,COULD,"The exploded view represents an advanced visualization level to facilitate complex interventions. Due to its high demand for graphic resources and specialized modeling, it is classified as an optional functionality (COULD). Requires hierarchical 3D models available in the equipment repository; if the model is not available, the system must degrade gracefully without interrupting the main flow.",juan david julio serrano,Approved,Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21),VIS-010
