Escenario,AC ID,Acción,Contexto,Epic,Historia de Origen,Resultado,US ID,UUID
Creación exitosa de un plan preventivo,AC-MTTO-001-1,"Cuando selecciona el activo, define la frecuencia, establece el método de programación y guarda el plan.",Dado que el Planificador está autenticado y el activo está registrado con identificación completa.,MTTO,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),Entonces el sistema confirma la creación del plan y lo muestra como programado en el calendario operativo.,MTTO-001,1
Validación de campos obligatorios,AC-MTTO-001-2,Cuando intenta guardar un plan sin seleccionar un activo o sin definir la frecuencia.,Dado que el Planificador está autenticado.,MTTO,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),Entonces el sistema informa los campos obligatorios faltantes y no genera la programación.,MTTO-001,2
Registro de trazabilidad,AC-MTTO-001-3,Cuando el usuario accede al historial de auditoría del sistema.,Dado que se ha creado exitosamente un plan preventivo recurrente.,MTTO,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),"Entonces visualiza el registro completo con autor, fecha y hora, activo afectado, frecuencia y método configurado.",MTTO-001,3
Listado de planes activos,AC-MTTO-001-4,Cuando el Planificador consulta la lista de planes.,Dado que existen planes preventivos activos.,MTTO,MTTO-001: Programación de Mantenimiento Preventivo (https://www.notion.so/MTTO-001-Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21),"Entonces el sistema presenta el activo, el ítem mantenible, el método, la frecuencia, la próxima orden de trabajo y el estado.",MTTO-001,4
Cierre Exitoso con Clasificación ISO,AC-MTTO-002-5,"Cuando ingresa las Horas Hombre Reales y selecciona Ítem Mantenible, Modo, Mecanismo y Causa de Falla según la norma, y presiona ""Finalizar"".",Dado que el Técnico ha finalizado una reparación física y está en la pantalla de la Orden de Trabajo en su dispositivo móvil.,MTTO,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),"Entonces el estado de la Orden de Trabajo cambia a ""Pendiente de Revisión"", la información se integra al historial del activo y se notifican los KPIs actualizados al personal de confiabilidad.",MTTO-002,5
Adjuntar Evidencia Multimedia,AC-MTTO-002-6,Cuando utiliza la función de captura de evidencia para registrar la reparación finalizada.,Dado que el Técnico está completando el formulario de cierre en su dispositivo móvil.,MTTO,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),Entonces la evidencia queda vinculada permanentemente a la Orden de Trabajo y es accesible para su revisión jerárquica.,MTTO-002,6
Validación de Integridad de Datos (Bloqueo ISO 14224),AC-MTTO-002-7,Cuando intenta finalizar la Orden de Trabajo sin completar los campos de taxonomía técnica obligatorios.,Dado que el Técnico está en el formulario de cierre.,MTTO,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),Entonces el sistema emite una notificación de incumplimiento normativo y restringe el cambio de estado hasta que los datos estén completos.,MTTO-002,7
Operación sin Conexión,AC-MTTO-002-8,Cuando completa el formulario de cierre y confirma la acción.,Dado que el Técnico está en una zona de la planta sin conectividad de red y ha procesado una Orden de Trabajo.,MTTO,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),Entonces el sistema comunica el estado de sincronización pendiente y garantiza la persistencia local de los datos hasta que se restablezca la conexión.,MTTO-002,8
Filtrado Dinámico de Taxonomía,AC-MTTO-002-9,Cuando el Técnico despliega el selector de Modos de Falla.,Dado que el activo intervenido pertenece a una clase específica (ej. Bomba Centrífuga).,MTTO,MTTO-002: Cierre Digital de Orden de Trabajo con Taxonomía ISO 14224 (https://www.notion.so/MTTO-002-Cierre-Digital-de-Orden-de-Trabajo-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21),"Entonces el sistema presenta únicamente las opciones técnicas aplicables a esa clase de activo, eliminando ruido visual y errores de clasificación.",MTTO-002,9
Carga exitosa de informe digital,AC-MTTO-003-10,Cuando selecciona un archivo de documento válido y confirma la subida.,Dado que el Contratista está autenticado y en la pantalla de la Orden de Trabajo completada.,MTTO,MTTO-003: Carga de Informe por Contratista (https://www.notion.so/MTTO-003-Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21),"Entonces el sistema solicita seleccionar el ítem mantenible asociado, confirma la vinculación del archivo a la Orden de Trabajo y notifica al Supervisor para su revisión.",MTTO-003,10
